RecordingTime [ms];Time of Day [h:m:s:ms];Trial;Stimulus;Export Start Trial Time [ms];Export End Trial Time [ms];Participant;Color;Tracking Ratio [%];Category Group;Category Binocular;Index Binocular;Pupil Diameter Right [mm];Point of Regard Binocular X [px];Point of Regard Binocular Y [px];Point of Regard Right X [px];Point of Regard Right Y [px];AOI Name Binocular;Gaze Vector Right X;Gaze Vector Right Y;Gaze Vector Right Z;Video Time [h:m:s:ms];Annotation Name;Annotation Description;Annotation Tags;Mouse Position X [px];Mouse Position Y [px];Scroll Direction X;Scroll Direction Y;Content
221104.5;21:41:01:349;Trial001;brian-1-recording.avi;0.0;302726.0;brian;Coral;100.0;Eye;-;-;4.6;693.0;258.7;739.9;271.6;-;0.0;0.0;1.0;00:00:00:083;-;-;-;-;-;-;-;-
221137.8;21:41:01:382;Trial001;brian-1-recording.avi;0.0;302726.0;brian;Coral;100.0;Eye;Visual Intake;1;4.6;690.1;257.0;739.4;269.7;-;0.0;0.0;1.0;00:00:00:083;-;-;-;-;-;-;-;-
221170.9;21:41:01:415;Trial001;brian-1-recording.avi;0.0;302726.0;brian;Coral;100.0;Eye;Visual Intake;1;4.6;692.4;257.2;742.4;270.5;-;0.0;0.0;1.0;00:00:00:125;-;-;-;-;-;-;-;-
221204.4;21:41:01:449;Trial001;brian-1-recording.avi;0.0;302726.0;brian;Coral;100.0;Eye;Visual Intake;1;4.6;692.2;257.5;743.3;269.9;-;0.0;0.0;1.0;00:00:00:167;-;-;-;-;-;-;-;-
221237.5;21:41:01:482;Trial001;brian-1-recording.avi;0.0;302726.0;brian;Coral;100.0;Eye;Visual Intake;1;4.6;694.2;256.3;743.8;268.9;-;0.0;0.0;1.0;00:00:00:208;-;-;-;-;-;-;-;-
221270.8;21:41:01:515;Trial001;brian-1-recording.avi;0.0;302726.0;brian;Coral;100.0;Eye;Visual Intake;1;4.6;691.5;257.2;741.0;270.5;-;0.0;0.0;1.0;00:00:00:250;-;-;-;-;-;-;-;-
221304.0;21:41:01:549;Trial001;brian-1-recording.avi;0.0;302726.0;brian;Coral;100.0;Eye;Visual Intake;1;4.6;693.0;257.0;744.6;269.8;-;0.0;0.0;1.0;00:00:00:292;-;-;-;-;-;-;-;-
221337.5;21:41:01:582;Trial001;brian-1-recording.avi;0.0;302726.0;brian;Coral;100.0;Eye;Visual Intake;1;4.6;691.5;257.9;741.4;272.3;-;0.0;0.0;1.0;00:00:00:292;-;-;-;-;-;-;-;-
221370.7;21:41:01:615;Trial001;brian-1-recording.avi;0.0;302726.0;brian;Coral;100.0;Eye;Saccade;1;4.6;691.3;258.3;741.0;270.4;-;0.0;0.0;1.0;00:00:00:292;-;-;-;-;-;-;-;-
221403.9;21:41:01:648;Trial001;brian-1-recording.avi;0.0;302726.0;brian;Coral;100.0;Eye;Saccade;1;4.6;697.7;254.7;747.8;268.1;-;0.0;0.0;1.0;00:00:00:375;-;-;-;-;-;-;-;-
221437.2;21:41:01:682;Trial001;brian-1-recording.avi;0.0;302726.0;brian;Coral;100.0;Eye;Visual Intake;2;4.6;697.4;255.1;747.1;268.8;-;0.0;0.0;1.0;00:00:00:375;-;-;-;-;-;-;-;-
221470.4;21:41:01:715;Trial001;brian-1-recording.avi;0.0;302726.0;brian;Coral;100.0;Eye;Visual Intake;2;4.6;695.7;256.3;744.7;270.2;-;0.0;0.0;1.0;00:00:00:417;-;-;-;-;-;-;-;-
221503.7;21:41:01:748;Trial001;brian-1-recording.avi;0.0;302726.0;brian;Coral;100.0;Eye;Visual Intake;2;4.6;696.2;254.7;747.1;268.0;-;0.0;0.0;1.0;00:00:00:458;-;-;-;-;-;-;-;-
221537.1;21:41:01:782;Trial001;brian-1-recording.avi;0.0;302726.0;brian;Coral;100.0;Eye;Visual Intake;2;4.6;696.3;254.5;747.0;268.4;-;0.0;0.0;1.0;00:00:00:500;-;-;-;-;-;-;-;-
221570.3;21:41:01:815;Trial001;brian-1-recording.avi;0.0;302726.0;brian;Coral;100.0;Eye;Visual Intake;2;4.6;694.2;254.3;744.8;267.8;-;0.0;0.0;1.0;00:00:00:500;-;-;-;-;-;-;-;-
221603.6;21:41:01:848;Trial001;brian-1-recording.avi;0.0;302726.0;brian;Coral;100.0;Eye;Visual Intake;2;4.7;695.5;254.6;745.1;268.1;-;0.0;0.0;1.0;00:00:00:542;-;-;-;-;-;-;-;-
221636.8;21:41:01:881;Trial001;brian-1-recording.avi;0.0;302726.0;brian;Coral;100.0;Eye;Visual Intake;2;4.7;695.8;256.8;746.0;269.2;-;0.0;0.0;1.0;00:00:00:583;-;-;-;-;-;-;-;-
221670.2;21:41:01:915;Trial001;brian-1-recording.avi;0.0;302726.0;brian;Coral;100.0;Eye;Visual Intake;2;4.7;696.2;256.8;746.3;268.3;-;0.0;0.0;1.0;00:00:00:625;-;-;-;-;-;-;-;-
221703.5;21:41:01:948;Trial001;brian-1-recording.avi;0.0;302726.0;brian;Coral;100.0;Eye;Visual Intake;2;4.6;697.2;259.6;747.1;271.7;-;0.0;0.0;1.0;00:00:00:667;-;-;-;-;-;-;-;-
221736.6;21:41:01:981;Trial001;brian-1-recording.avi;0.0;302726.0;brian;Coral;100.0;Eye;Visual Intake;2;4.7;695.4;260.3;744.1;272.6;-;0.0;0.0;1.0;00:00:00:708;-;-;-;-;-;-;-;-
221769.9;21:41:02:014;Trial001;brian-1-recording.avi;0.0;302726.0;brian;Coral;100.0;Eye;Visual Intake;2;4.7;694.9;260.3;744.2;272.5;-;0.0;0.0;1.0;00:00:00:750;-;-;-;-;-;-;-;-
221803.2;21:41:02:048;Trial001;brian-1-recording.avi;0.0;302726.0;brian;Coral;100.0;Eye;Visual Intake;2;4.8;695.9;260.2;744.8;271.2;-;0.0;0.0;1.0;00:00:00:750;-;-;-;-;-;-;-;-
